BaseName,Tag,Original_Value,Converted_Value,Change_Status
"Caleidoscópio","XMP-xmpMM:RenditionClass","","default","Added in converted"
"Caleidoscópio","XMP-xmpMM:VersionID","","1","Added in converted"
"Caleidoscópio","ZIP:ZipBitFlag","0x0006","","Removed from original"
"Caleidoscópio","ZIP:ZipCRC","0x3795fcdd","","Removed from original"
"Caleidoscópio","ZIP:ZipCompressedSize","358","","Removed from original"
"Caleidoscópio","ZIP:ZipCompression","Deflated","","Removed from original"
"Caleidoscópio","ZIP:ZipFileName","[Content_Types].xml","","Removed from original"
"Caleidoscópio","ZIP:ZipModifyDate","1980:01:01 00:00:00","","Removed from original"
"Caleidoscópio","ZIP:ZipRequiredVersion","20","","Removed from original"
"Caleidoscópio","ZIP:ZipUncompressedSize","1312","","Removed from original"
"Caleidoscópio","ï»¿SourceFile","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC/Caleidoscâ¤pio.docx","C:/Users/lstuch1/Desktop/Flash Drive #1 Action w DOC/Caleidoscâ¤pio.pdf","Modified"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","ExifTool:ExifToolVersion","13.4","13.4","Unchanged"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","ExifTool:Warning","FileName encoding must be specified [x2]","FileName encoding must be specified [x2]","Unchanged"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","File:FileType","DOC","PDF","Modified"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","File:FileTypeExtension","doc","pdf","Modified"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","File:MIMEType","application/msword","application/pdf","Modified"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:AppVersion","11.5606","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Author","Marcelo","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:CharCountWithSpaces","2930","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Characters","2477","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:CodePage","Windows Latin 1 (Western European)","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Comments","","","Modified"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:CompObjUserType","Documento do Microsoft Office Word","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:CompObjUserTypeLen","35","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:Company","Brasil Virtual","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:CreateDate","2010:11:17 10:00:00","","Removed from original"
"Cópia (4) de O Jabuti é um prêmio para as conveniências do mercado","FlashPix:DocFlags","1Table, ExtChar","","Removed from original"
