BaseName,Tag,Original_Value,Converted_Value,Change_Status
"(A2u Non-Cloud) Chinese","ICC-header:ProfileConnectionSpace","","XYZ ","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ProfileCreator","","Adobe Systems Inc.","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ProfileDateTime","","1999:06:03 00:00:00","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ProfileFileSignature","","acsp","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ProfileID","","0","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:ProfileVersion","","2.1.0","Added in converted"
"(A2u Non-Cloud) Chinese","ICC-header:RenderingIntent","","Perceptual","Added in converted"
"(A2u Non-Cloud) Chinese","ICC_Profile:GrayTRC","","(Binary data 524 bytes, use -b option to extract)","Added in converted"
"(A2u Non-Cloud) Chinese","ICC_Profile:MediaBlackPoint","","0 0 0","Added in converted"
"(A2u Non-Cloud) Chinese","ICC_Profile:MediaWhitePoint","","0.9642 1 0.82491","Added in converted"
"(A2u Non-Cloud) Chinese","ICC_Profile:ProfileCopyright","","Copyright 1999 Adobe Systems Incorporated","Added in converted"
"(A2u Non-Cloud) Chinese","ICC_Profile:ProfileDescription","","Dot Gain 20%","Added in converted"
"(A2u Non-Cloud) Chinese","MS-DOC:Characters","3723","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:CreateDate","2015:03:28 12:53:00","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:LastPrinted","2015:04:10 12:03:00","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:Lines","31","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:ModifyDate","2015:04:22 04:21:45","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:Pages","6","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:Paragraphs","8","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:RevisionNumber","126","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:TotalEditTime","3.5 hours","","Removed from original"
"(A2u Non-Cloud) Chinese","MS-DOC:Words","652","","Removed from original"
"(A2u Non-Cloud) Chinese","PDF:Author","","Wang","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:CreateDate","","2026:02:26 16:13:26-05:00","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:Creator","","Acrobat PDFMaker 25 for Word","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:Linearized","","Yes","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:ModifyDate","","2026:02:26 16:13:38-05:00","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:PDFVersion","","1.6","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:PageCount","","6","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:PageLayout","","OneColumn","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:Producer","","Adobe PDF Library 25.1.231","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:Subject","","","Modified"
"(A2u Non-Cloud) Chinese","PDF:TaggedPDF","","Yes","Added in converted"
"(A2u Non-Cloud) Chinese","PDF:Title","","","Modified"
"(A2u Non-Cloud) Chinese","System:Directory","C:/Users/lstuch1/Desktop/S3 Originals","C:/Users/lstuch1/Desktop/S3 PDFs","Modified"
"(A2u Non-Cloud) Chinese","System:FileAccessDate","2026:02:26 16:24:45-05:00","2026:02:26 16:21:06-05:00","Modified"
"(A2u Non-Cloud) Chinese","System:FileCreateDate","2026:02:26 11:42:50-05:00","2026:02:26 16:13:36-05:00","Modified"
